x,y,error
0.000000,0.000000,0.000000
0.010101,0.000000,0.000000
0.020202,0.000000,0.000000
0.030303,0.000000,0.000000
0.040404,0.000000,0.000000
0.050505,0.000000,0.000000
0.060606,0.000000,0.000000
0.070707,0.000000,0.000000
0.080808,0.000000,0.000000
0.090909,0.000000,0.000000
0.101010,0.000000,0.000000
0.111111,0.000000,0.000000
0.121212,0.000000,0.000000
0.131313,0.000000,0.000000
0.141414,0.000000,0.000000
0.151515,0.000000,0.000000
0.161616,0.000000,0.000000
0.171717,0.000000,0.000000
0.181818,0.000000,0.000000
0.191919,0.000000,0.000000
0.202020,0.000000,0.000000
0.212121,0.000000,0.000000
0.222222,0.000000,0.000000
0.232323,0.000000,0.000000
0.242424,0.000000,0.000000
0.252525,0.000000,0.000000
0.262626,0.000000,0.000000
0.272727,0.000000,0.000000
0.282828,0.000000,0.000000
0.292929,0.000000,0.000000
0.303030,0.000000,0.000000
0.313131,0.000000,0.000000
0.323232,0.000000,0.000000
0.333333,0.000000,0.000000
0.343434,0.000000,0.000000
0.353535,0.000000,0.000000
0.363636,0.000000,0.000000
0.373737,0.000000,0.000000
0.383838,0.000000,0.000000
0.393939,0.000000,0.000000
0.404040,0.000000,0.000000
0.414141,0.000000,0.000000
0.424242,0.000000,0.000000
0.434343,0.000000,0.000000
0.444444,0.000000,0.000000
0.454545,0.000000,0.000000
0.464646,0.000000,0.000000
0.474747,0.000000,0.000000
0.484848,0.000000,0.000000
0.494949,0.000000,0.000000
0.505051,0.000000,0.000000
0.515152,0.000000,0.000000
0.525253,0.000000,0.000000
0.535354,0.000000,0.000000
0.545455,0.000000,0.000000
0.555556,0.000000,0.000000
0.565657,0.000000,0.000000
0.575758,0.000000,0.000000
0.585859,0.000000,0.000000
0.595960,0.000000,0.000000
0.606061,0.000000,0.000000
0.616162,0.000000,0.000000
0.626263,0.000000,0.000000
0.636364,0.000000,0.000000
0.646465,0.000000,0.000000
0.656566,0.000000,0.000000
0.666667,0.000000,0.000000
0.676768,0.000000,0.000000
0.686869,0.000000,0.000000
0.696970,0.000000,0.000000
0.707071,0.000000,0.000000
0.717172,0.000000,0.000000
0.727273,0.000000,0.000000
0.737374,0.000000,0.000000
0.747475,0.000000,0.000000
0.757576,0.000000,0.000000
0.767677,0.000000,0.000000
0.777778,0.000000,0.000000
0.787879,0.000000,0.000000
0.797980,0.000000,0.000000
0.808081,0.000000,0.000000
0.818182,0.000000,0.000000
0.828283,0.000000,0.000000
0.838384,0.000000,0.000000
0.848485,0.000000,0.000000
0.858586,0.000000,0.000000
0.868687,0.000000,0.000000
0.878788,0.000000,0.000000
0.888889,0.000000,0.000000
0.898990,0.000000,0.000000
0.909091,0.000000,0.000000
0.919192,0.000000,0.000000
0.929293,0.000000,0.000000
0.939394,0.000000,0.000000
0.949495,0.000000,0.000000
0.959596,0.000000,0.000000
0.969697,0.000000,0.000000
0.979798,0.000000,0.000000
0.989899,0.000000,0.000000
1.000000,0.000000,0.000000
0.000000,0.010101,0.000000
0.010101,0.010101,-0.000439
0.020202,0.010101,-0.000877
0.030303,0.010101,-0.001316
0.040404,0.010101,-0.001754
0.050505,0.010101,-0.002193
0.060606,0.010101,-0.002632
0.070707,0.010101,-0.003071
0.080808,0.010101,-0.003510
0.090909,0.010101,-0.003950
0.101010,0.010101,-0.004390
0.111111,0.010101,-0.004830
0.121212,0.010101,-0.005270
0.131313,0.010101,-0.005710
0.141414,0.010101,-0.006151
0.151515,0.010101,-0.006592
0.161616,0.010101,-0.007033
0.171717,0.010101,-0.007475
0.181818,0.010101,-0.007917
0.191919,0.010101,-0.008359
0.202020,0.010101,-0.008802
0.212121,0.010101,-0.009244
0.222222,0.010101,-0.009687
0.232323,0.010101,-0.010131
0.242424,0.010101,-0.010574
0.252525,0.010101,-0.011018
0.262626,0.010101,-0.011462
0.272727,0.010101,-0.011906
0.282828,0.010101,-0.012350
0.292929,0.010101,-0.012794
0.303030,0.010101,-0.013238
0.313131,0.010101,-0.013682
0.323232,0.010101,-0.014126
0.333333,0.010101,-0.014570
0.343434,0.010101,-0.015013
0.353535,0.010101,-0.015456
0.363636,0.010101,-0.015898
0.373737,0.010101,-0.016340
0.383838,0.010101,-0.016782
0.393939,0.010101,-0.017222
0.404040,0.010101,-0.017662
0.414141,0.010101,-0.018100
0.424242,0.010101,-0.018537
0.434343,0.010101,-0.018973
0.444444,0.010101,-0.019408
0.454545,0.010101,-0.019841
0.464646,0.010101,-0.020272
0.474747,0.010101,-0.020701
0.484848,0.010101,-0.021128
0.494949,0.010101,-0.021552
0.505051,0.010101,-0.021974
0.515152,0.010101,-0.022393
0.525253,0.010101,-0.022809
0.535354,0.010101,-0.023222
0.545455,0.010101,-0.023631
0.555556,0.010101,-0.024037
0.565657,0.010101,-0.024438
0.575758,0.010101,-0.024835
0.585859,0.010101,-0.025227
0.595960,0.010101,-0.025615
0.606061,0.010101,-0.025997
0.616162,0.010101,-0.026374
0.626263,0.010101,-0.026744
0.636364,0.010101,-0.027109
0.646465,0.010101,-0.027466
0.656566,0.010101,-0.027817
0.666667,0.010101,-0.028160
0.676768,0.010101,-0.028495
0.686869,0.010101,-0.028822
0.696970,0.010101,-0.029140
0.707071,0.010101,-0.029449
0.717172,0.010101,-0.029749
0.727273,0.010101,-0.030038
0.737374,0.010101,-0.030317
0.747475,0.010101,-0.030584
0.757576,0.010101,-0.030840
0.767677,0.010101,-0.031083
0.777778,0.010101,-0.031314
0.787879,0.010101,-0.031531
0.797980,0.010101,-0.031734
0.808081,0.010101,-0.031922
0.818182,0.010101,-0.032095
0.828283,0.010101,-0.032252
0.838384,0.010101,-0.032393
0.848485,0.010101,-0.032516
0.858586,0.010101,-0.032621
0.868687,0.010101,-0.032707
0.878788,0.010101,-0.032774
0.888889,0.010101,-0.032820
0.898990,0.010101,-0.032845
0.909091,0.010101,-0.032847
0.919192,0.010101,-0.032827
0.929293,0.010101,-0.032783
0.939394,0.010101,-0.032715
0.949495,0.010101,-0.032620
0.959596,0.010101,-0.032499
0.969697,0.010101,-0.032350
0.979798,0.010101,-0.032173
0.989899,0.010101,-0.031966
1.000000,0.010101,-0.031728
0.000000,0.020202,0.000000
0.010101,0.020202,-0.000877
0.020202,0.020202,-0.001754
0.030303,0.020202,-0.002631
0.040404,0.020202,-0.003509
0.050505,0.020202,-0.004386
0.060606,0.020202,-0.005264
0.070707,0.020202,-0.006143
0.080808,0.020202,-0.007021
0.090909,0.020202,-0.007900
0.101010,0.020202,-0.008779
0.111111,0.020202,-0.009659
0.121212,0.020202,-0.010540
0.131313,0.020202,-0.011421
0.141414,0.020202,-0.012302
0.151515,0.020202,-0.013184
0.161616,0.020202,-0.014067
0.171717,0.020202,-0.014950
0.181818,0.020202,-0.015834
0.191919,0.020202,-0.016718
0.202020,0.020202,-0.017603
0.212121,0.020202,-0.018489
0.222222,0.020202,-0.019375
0.232323,0.020202,-0.020261
0.242424,0.020202,-0.021148
0.252525,0.020202,-0.022036
0.262626,0.020202,-0.022924
0.272727,0.020202,-0.023812
0.282828,0.020202,-0.024700
0.292929,0.020202,-0.025588
0.303030,0.020202,-0.026476
0.313131,0.020202,-0.027364
0.323232,0.020202,-0.028251
0.333333,0.020202,-0.029139
0.343434,0.020202,-0.030025
0.353535,0.020202,-0.030911
0.363636,0.020202,-0.031796
0.373737,0.020202,-0.032680
0.383838,0.020202,-0.033562
0.393939,0.020202,-0.034443
0.404040,0.020202,-0.035322
0.414141,0.020202,-0.036198
0.424242,0.020202,-0.037073
0.434343,0.020202,-0.037945
0.444444,0.020202,-0.038813
0.454545,0.020202,-0.039679
0.464646,0.020202,-0.040541
0.474747,0.020202,-0.041399
0.484848,0.020202,-0.042252
0.494949,0.020202,-0.043101
0.505051,0.020202,-0.043944
0.515152,0.020202,-0.044782
0.525253,0.020202,-0.045614
0.535354,0.020202,-0.046439
0.545455,0.020202,-0.047257
0.555556,0.020202,-0.048068
0.565657,0.020202,-0.048870
0.575758,0.020202,-0.049664
0.585859,0.020202,-0.050449
0.595960,0.020202,-0.051223
0.606061,0.020202,-0.051987
0.616162,0.020202,-0.052740
0.626263,0.020202,-0.053481
0.636364,0.020202,-0.054209
0.646465,0.020202,-0.054924
0.656566,0.020202,-0.055625
0.666667,0.020202,-0.056310
0.676768,0.020202,-0.056980
0.686869,0.020202,-0.057634
0.696970,0.020202,-0.058270
0.707071,0.020202,-0.058887
0.717172,0.020202,-0.059486
0.727273,0.020202,-0.060063
0.737374,0.020202,-0.060620
0.747475,0.020202,-0.061154
0.757576,0.020202,-0.061665
0.767677,0.020202,-0.062151
0.777778,0.020202,-0.062612
0.787879,0.020202,-0.063045
0.797980,0.020202,-0.063451
0.808081,0.020202,-0.063827
0.818182,0.020202,-0.064172
0.828283,0.020202,-0.064486
0.838384,0.020202,-0.064766
0.848485,0.020202,-0.065012
0.858586,0.020202,-0.065221
0.868687,0.020202,-0.065393
0.878788,0.020202,-0.065525
0.888889,0.020202,-0.065616
0.898990,0.020202,-0.065665
0.909091,0.020202,-0.065670
0.919192,0.020202,-0.065629
0.929293,0.020202,-0.065541
0.939394,0.020202,-0.065402
0.949495,0.020202,-0.065213
0.959596,0.020202,-0.064970
0.969697,0.020202,-0.064672
0.979798,0.020202,-0.064316
0.989899,0.020202,-0.063901
1.000000,0.020202,-0.063424
0.000000,0.030303,0.000000
0.010101,0.030303,-0.001316
0.020202,0.030303,-0.002631
0.030303,0.030303,-0.003947
0.040404,0.030303,-0.005264
0.050505,0.030303,-0.006580
0.060606,0.030303,-0.007897
0.070707,0.030303,-0.009214
0.080808,0.030303,-0.010532
0.090909,0.030303,-0.011851
0.101010,0.030303,-0.013170
0.111111,0.030303,-0.014490
0.121212,0.030303,-0.015810
0.131313,0.030303,-0.017132
0.141414,0.030303,-0.018454
0.151515,0.030303,-0.019777
0.161616,0.030303,-0.021101
0.171717,0.030303,-0.022426
0.181818,0.030303,-0.023751
0.191919,0.030303,-0.025078
0.202020,0.030303,-0.026405
0.212121,0.030303,-0.027734
0.222222,0.030303,-0.029063
0.232323,0.030303,-0.030393
0.242424,0.030303,-0.031723
0.252525,0.030303,-0.033054
0.262626,0.030303,-0.034385
0.272727,0.030303,-0.035717
0.282828,0.030303,-0.037049
0.292929,0.030303,-0.038381
0.303030,0.030303,-0.039713
0.313131,0.030303,-0.041045
0.323232,0.030303,-0.042376
0.333333,0.030303,-0.043707
0.343434,0.030303,-0.045036
0.353535,0.030303,-0.046365
0.363636,0.030303,-0.047692
0.373737,0.030303,-0.049017
0.383838,0.030303,-0.050340
0.393939,0.030303,-0.051661
0.404040,0.030303,-0.052979
0.414141,0.030303,-0.054293
0.424242,0.030303,-0.055605
0.434343,0.030303,-0.056912
0.444444,0.030303,-0.058214
0.454545,0.030303,-0.059512
0.464646,0.030303,-0.060804
0.474747,0.030303,-0.062091
0.484848,0.030303,-0.063370
0.494949,0.030303,-0.064643
0.505051,0.030303,-0.065907
0.515152,0.030303,-0.067164
0.525253,0.030303,-0.068411
0.535354,0.030303,-0.069648
0.545455,0.030303,-0.070874
0.555556,0.030303,-0.072089
0.565657,0.030303,-0.073292
0.575758,0.030303,-0.074482
0.585859,0.030303,-0.075658
0.595960,0.030303,-0.076818
0.606061,0.030303,-0.077963
0.616162,0.030303,-0.079092
0.626263,0.030303,-0.080202
0.636364,0.030303,-0.081293
0.646465,0.030303,-0.082364
0.656566,0.030303,-0.083414
0.666667,0.030303,-0.084442
0.676768,0.030303,-0.085446
0.686869,0.030303,-0.086425
0.696970,0.030303,-0.087377
0.707071,0.030303,-0.088302
0.717172,0.030303,-0.089198
0.727273,0.030303,-0.090064
0.737374,0.030303,-0.090897
0.747475,0.030303,-0.091697
0.757576,0.030303,-0.092462
0.767677,0.030303,-0.093189
0.777778,0.030303,-0.093879
0.787879,0.030303,-0.094528
0.797980,0.030303,-0.095134
